Score-Threshold,History-Threshold,MAE-Binomial,MAE-Baseline,MSE-Binomial,MSE-Baseline
0.6,5,0.1101826318533973,0.12969151168424228,0.04282712859339415,0.04365366826309414
0.6,7,0.10746132503374688,0.12746709365505865,0.042004300021715374,0.041637945622689056
0.6,9,0.10464893895536086,0.12508225633179804,0.041053648651855054,0.039937000426365304
0.6,11,0.10232378201918825,0.12354760393911329,0.04017991077816686,0.038830194365519
0.6,13,0.10033981593273214,0.12230542185719329,0.03955702067708269,0.03801537793675923
0.6,15,0.09906299014980718,0.12144497900973165,0.0392811571350674,0.0374544191732687
0.7,5,0.11007784143370992,0.13663339431771745,0.042961608357317375,0.04487648378174903
0.7,7,0.10731300305389456,0.1340322880657633,0.042018308376178926,0.042590789291445635
0.7,9,0.10467758444376665,0.13183520055366435,0.04114214156097478,0.04094626847971188
0.7,11,0.10245133941762924,0.13034851093015765,0.04029002146832346,0.03986355863903043
0.7,13,0.10046170015751738,0.12904554904465032,0.039649943013782524,0.03899155226188931
0.7,15,0.09924087912227705,0.12821773634189088,0.03936043112338879,0.0383742652664078
0.8,5,0.11332576454758558,0.16833128589290244,0.04553518287042657,0.05537796671271238
0.8,7,0.11063993932717947,0.1650857943986669,0.0441570074818599,0.052068992461404895
0.8,9,0.10794507543228324,0.1626954703830794,0.0429246575127411,0.0498356487422452
0.8,11,0.10551372138871866,0.16071804361959624,0.04168004590931994,0.04824491034033106
0.8,13,0.10362749323041216,0.1594046719493967,0.040991075095907985,0.04713060343364784
0.8,15,0.10251487144931215,0.15861255859901302,0.040653087415457714,0.04648317561664311
0.9,5,0.12744397844732958,0.19763006199738395,0.049969972802359944,0.06893817974080957
0.9,7,0.12395395343565048,0.19411770360959757,0.047950494428141914,0.06500948029947867
0.9,9,0.1211495433805261,0.19176907392110812,0.04646830488143901,0.06256598326286981
0.9,11,0.11842515000776424,0.1896301529559653,0.04504888979847218,0.06080722900834609
0.9,13,0.11660533233749226,0.18815946950757123,0.04435909090859551,0.059571510425668064
0.9,15,0.11545249043788335,0.18737180316029783,0.04402720887162337,0.058977556578490305
