Model,Approach,Score,History,MAEModel, MAEBasline
Binomial,PE,0.8,5,0.10456724763021392,0.1664418568648695
Binomial,PE,0.8,7,0.10350440853977969,0.1643738597861799
Binomial,PE,0.8,9,0.10239774588614112,0.16288451810240612
Binomial,PE,0.8,11,0.10148361805298596,0.16134701959061454
Binomial,PE,0.8,13,0.10053245299811828,0.15993871679235555
Binomial,PE,0.8,15,0.09984279469295668,0.15888420558089747
Binomial,PE,0.9,5,0.10429015767329726,0.19548874630751695
Binomial,PE,0.9,7,0.1033291362618661,0.19336982146537052
Binomial,PE,0.9,9,0.10232449327413098,0.19177910642513007
Binomial,PE,0.9,11,0.10151102977937268,0.19018271125229788
Binomial,PE,0.9,13,0.1006629546773227,0.18867531044017394
Binomial,PE,0.9,15,0.10006912447480054,0.18742348807388767
Binomial,PE,0.7,5,0.10531477116258495,0.13580452724732323
Binomial,PE,0.7,7,0.10409626788683306,0.13404398483602206
Binomial,PE,0.7,9,0.10285724433797845,0.13273175267081497
Binomial,PE,0.7,11,0.10182982613451283,0.13145986353684216
Binomial,PE,0.7,13,0.1007625024496458,0.1302622858980867
Binomial,PE,0.7,15,0.09996615485808732,0.12944334229644747
Binomial,PE,0.6,5,0.1056738098064606,0.12852499357969854
Binomial,PE,0.6,7,0.10441028602989835,0.12690666482940818
Binomial,PE,0.6,9,0.10312216341843128,0.12551781437843312
Binomial,PE,0.6,11,0.10205559768145359,0.12427246961154548
Binomial,PE,0.6,13,0.10094946860684292,0.12311062860666573
Binomial,PE,0.6,15,0.10011557922650613,0.12227513025716474
Binomial,RS,0.8,5,0.1090133268601979,0.16644185686479038
Binomial,RS,0.8,7,0.10818284126358253,0.1643738597861109
Binomial,RS,0.8,9,0.10729640245070012,0.16288451810234844
Binomial,RS,0.8,11,0.10657037456179956,0.16134701959056677
Binomial,RS,0.8,13,0.10576038028271537,0.1599387167923219
Binomial,RS,0.8,15,0.10520222065650639,0.1588842055808845
Binomial,RS,0.9,5,0.10959006702314684,0.19548874630740448
Binomial,RS,0.9,7,0.10902047546590403,0.1933698214652912
Binomial,RS,0.9,9,0.10836041685571751,0.19177910642508703
Binomial,RS,0.9,11,0.10783744262891988,0.19018271125225666
Binomial,RS,0.9,13,0.10721647276942144,0.1886753104401433
Binomial,RS,0.9,15,0.1068085737920865,0.1874234880738684
Binomial,RS,0.7,5,0.10899175616025351,0.13580452724724873
Binomial,RS,0.7,7,0.10786366894166502,0.13404398483594748
Binomial,RS,0.7,9,0.10676522017226713,0.1327317526707623
Binomial,RS,0.7,11,0.10577979491676534,0.13145986353680644
Binomial,RS,0.7,13,0.10478307870020294,0.13026228589807498
Binomial,RS,0.7,15,0.1040706606970134,0.12944334229644927
Binomial,RS,0.6,5,0.10916736545619483,0.12852499357962036
Binomial,RS,0.6,7,0.10794701124671,0.12690666482934004
Binomial,RS,0.6,9,0.10675877517669204,0.12551781437838644
Binomial,RS,0.6,11,0.10574695726920344,0.12427246961151509
Binomial,RS,0.6,13,0.10466814894508428,0.12311062860666008
Binomial,RS,0.6,15,0.10391404463462597,0.12227513025716415
Multinomial,PE,0.0,5,0.10818587201875658,0.11525535966141225
Multinomial,PE,0.0,7,0.10630433142979608,0.11408993991707225
Multinomial,PE,0.0,9,0.10450830183296902,0.11299170950430892
Multinomial,PE,0.0,11,0.10299306053385127,0.11199720290150846
Multinomial,PE,0.0,13,0.10148814924718072,0.11097581995135375
Multinomial,PE,0.0,15,0.10031525292435617,0.11032081091584205
Multinomial,RS,0.0,5,0.10789780666273496,0.11525535966134788
Multinomial,RS,0.0,7,0.10566634886881976,0.11408993991703927
Multinomial,RS,0.0,9,0.10367804719933726,0.11299170950428863
Multinomial,RS,0.0,11,0.1020556142495433,0.11199720290148822
Multinomial,RS,0.0,13,0.10051032393642907,0.11097581995134305
Multinomial,RS,0.0,15,0.09935545733883305,0.11032081091583264
Binomial,PE,Baseline,5,1,1
Binomial,PE,Baseline,7,1,1
Binomial,PE,Baseline,9,1,1
Binomial,PE,Baseline,11,1,1
Binomial,PE,Baseline,13,1,1
Binomial,PE,Baseline,15,1,1
Binomial,RS,Baseline,5,1,1
Binomial,RS,Baseline,7,1,1
Binomial,RS,Baseline,9,1,1
Binomial,RS,Baseline,11,1,1
Binomial,RS,Baseline,13,1,1
Binomial,RS,Baseline,15,1,1
Multinomial,Baseline,0.0,5,1,1
Multinomial,Baseline,0.0,7,1,1
Multinomial,Baseline,0.0,9,1,1
Multinomial,Baseline,0.0,11,1,1
Multinomial,Baseline,0.0,13,1,1
Multinomial,Baseline,0.0,15,1,1
