Model,Approach,Score,History,MAEModel,MAEBaseline,MSE-Binomial,MSE-Baseline
Binomial,PE,0.6,5,0.106855549,0.129691512,0.044880352,0.043653668
Binomial,PE,0.6,7,0.105755481,0.127467094,0.044073397,0.041637946
Binomial,PE,0.6,9,0.103948713,0.125082256,0.043110977,0.039937
Binomial,PE,0.6,11,0.10228474,0.123547604,0.04207698,0.038830194
Binomial,PE,0.6,13,0.100890879,0.122305422,0.041338831,0.038015378
Binomial,PE,0.6,15,0.099777302,0.121444979,0.040773656,0.037454419
Binomial,PE,0.7,5,0.106409659,0.136633394,0.044958175,0.044876484
Binomial,PE,0.7,7,0.105330684,0.134032288,0.044128088,0.042590789
Binomial,PE,0.7,9,0.103560358,0.131835201,0.043153681,0.040946268
Binomial,PE,0.7,11,0.101921502,0.130348511,0.042106078,0.039863559
Binomial,PE,0.7,13,0.100532396,0.129045549,0.041352035,0.038991552
Binomial,PE,0.7,15,0.099427325,0.128217736,0.040763882,0.038374265
Binomial,PE,0.8,5,0.10572296,0.168331286,0.045426421,0.055377967
Binomial,PE,0.8,7,0.104808807,0.165085794,0.044549709,0.052068992
Binomial,PE,0.8,9,0.103176233,0.16269547,0.043535974,0.049835649
Binomial,PE,0.8,11,0.101627108,0.160718044,0.042432221,0.04824491
Binomial,PE,0.8,13,0.100371435,0.159404672,0.04164991,0.047130603
Binomial,PE,0.8,15,0.099419254,0.158612559,0.041034464,0.046483176
Binomial,PE,0.9,5,0.105307985,0.197630062,0.04567311,0.06893818
Binomial,PE,0.9,7,0.104469704,0.194117704,0.04474824,0.06500948
Binomial,PE,0.9,9,0.102902874,0.191769074,0.043676809,0.062565983
Binomial,PE,0.9,11,0.101397312,0.189630153,0.042512227,0.060807229
Binomial,PE,0.9,13,0.100202746,0.18815947,0.041691728,0.05957151
Binomial,PE,0.9,15,0.099315042,0.187371803,0.041059196,0.058977557
Binomial,RS,0.6,5,0.110280771,0.129691512,0.043381446,0.043653668
Binomial,RS,0.6,7,0.109200342,0.127467094,0.042509826,0.041637946
Binomial,RS,0.6,9,0.107449313,0.125082256,0.04151041,0.039937
Binomial,RS,0.6,11,0.105834218,0.123547604,0.040444282,0.038830194
Binomial,RS,0.6,13,0.104588381,0.122305422,0.039731287,0.038015378
Binomial,RS,0.6,15,0.103545188,0.121444979,0.039153707,0.037454419
Binomial,RS,0.7,5,0.109931674,0.136633394,0.043344581,0.044876484
Binomial,RS,0.7,7,0.108822521,0.134032288,0.042410429,0.042590789
Binomial,RS,0.7,9,0.107264144,0.131835201,0.041414794,0.040946268
Binomial,RS,0.7,11,0.105658172,0.130348511,0.040380799,0.039863559
Binomial,RS,0.7,13,0.104368165,0.129045549,0.039605024,0.038991552
Binomial,RS,0.7,15,0.103425355,0.128217736,0.039042086,0.038374265
Binomial,RS,0.8,5,0.110075321,0.168331286,0.043478844,0.055377967
Binomial,RS,0.8,7,0.109341889,0.165085794,0.042537367,0.052068992
Binomial,RS,0.8,9,0.107917942,0.16269547,0.041487232,0.049835649
Binomial,RS,0.8,11,0.106448314,0.160718044,0.040367941,0.04824491
Binomial,RS,0.8,13,0.105415824,0.159404672,0.039679318,0.047130603
Binomial,RS,0.8,15,0.104709028,0.158612559,0.03905283,0.046483176
Binomial,RS,0.9,5,0.110674385,0.197630062,0.043703449,0.06893818
Binomial,RS,0.9,7,0.110078949,0.194117704,0.042714698,0.06500948
Binomial,RS,0.9,9,0.108826658,0.191769074,0.041645567,0.062565983
Binomial,RS,0.9,11,0.107546383,0.189630153,0.040497968,0.060807229
Binomial,RS,0.9,13,0.106609595,0.18815947,0.039762454,0.05957151
Binomial,RS,0.9,15,0.105958498,0.187371803,0.039175342,0.058977557
Multinomial,PE,0.9,5,0.109454125,0.116425945,0.044301571,0.040122245
Multinomial,PE,0.9,7,0.107734783,0.114943013,0.043726904,0.039053646
Multinomial,PE,0.9,9,0.105490117,0.113100545,0.042985557,0.037944048
Multinomial,PE,0.9,11,0.103369979,0.111524135,0.04212256,0.036992156
Multinomial,PE,0.9,13,0.101596566,0.110261576,0.041534006,0.036341322
Multinomial,PE,0.9,15,0.100150126,0.109492477,0.041087163,0.035904864
Multinomial,RS,0.9,5,0.109144719,0.116425945,0.043613389,0.040122245
Multinomial,RS,0.9,7,0.106993461,0.114943013,0.043111549,0.039053646
Multinomial,RS,0.9,9,0.104526771,0.113100545,0.042459619,0.037944048
Multinomial,RS,0.9,11,0.102224011,0.111524135,0.041642206,0.036992156
Multinomial,RS,0.9,13,0.100371719,0.110261576,0.041106154,0.036341322
Multinomial,RS,0.9,15,0.098974387,0.109492477,0.040714228,0.035904864
Binomial,PE,Baseline,5,1,1,1,1
Binomial,PE,Baseline,7,1,1,1,1
Binomial,PE,Baseline,9,1,1,1,1
Binomial,PE,Baseline,11,1,1,1,1
Binomial,PE,Baseline,13,1,1,1,1
