Approach,Score,History,MAEModel,MAEBaseline,MSE-Binomial,MSE-Baseline
PE,0.5,5,0.11498175679292681,0.20460270502006095,0.02017863441510012,0.059218976044869066
PE,0.5,7,0.11465935511086855,0.20378496859853987,0.020112388589527436,0.05868663961487707
PE,0.5,9,0.11443303085830882,0.20309830902523693,0.020090265031565035,0.05826749967631088
PE,0.5,11,0.11431937915438052,0.2025778554418138,0.020089840649584134,0.05795165705139295
PE,0.5,13,0.11427944662097012,0.20214201378791533,0.020123340243524076,0.057687969453513045
PE,0.5,15,0.11428291231375252,0.20175380397918882,0.020170212410250195,0.05746652255270917
PE,0.6,5,0.10016983491604517,0.1885789927172379,0.01604275771348076,0.05464059073035791
PE,0.6,7,0.09962374508248457,0.18698652054901482,0.015856991142004444,0.053679485390540654
PE,0.6,9,0.0992832571550063,0.18575192783792846,0.0157482784585017,0.05297812085283385
PE,0.6,11,0.09910350137914746,0.1848344266447201,0.01566472235234024,0.05243659696688546
PE,0.6,13,0.09911173477482321,0.18407256268315852,0.01564569481917744,0.05198468780198387
PE,0.6,15,0.09917706542460514,0.18345214030976875,0.015647239053679502,0.051609500580715714
PE,Baseline,5,1,1,1,1
PE,Baseline,7,1,1,1,1
PE,Baseline,9,1,1,1,1
PE,Baseline,11,1,1,1,1
PE,Baseline,13,1,1,1,1
PE,Baseline,15,1,1,1,1
RS,Baseline,5,1,1,1,1
RS,Baseline,7,1,1,1,1
RS,Baseline,9,1,1,1,1
RS,Baseline,11,1,1,1,1
RS,Baseline,13,1,1,1,1
RS,Baseline,15,1,1,1,1
RS,0.5,5,0.12187588819683765,0.20153806750226944,0.02245107186203383,0.057536077876661734
RS,0.5,7,0.12125993506626732,0.20081903882994062,0.02223456956562283,0.05709071943591107
RS,0.5,9,0.12078686616589067,0.20029897056220752,0.022074259825005535,0.05677995065983146
RS,0.5,11,0.12030865223201204,0.1997106936997927,0.02190907992550358,0.056434552451438316
RS,0.5,13,0.11989021228133316,0.19920936235654255,0.02175577854101955,0.056135595788194374
RS,0.5,15,0.1193831654155908,0.19867063530735588,0.021581996770520234,0.055842669838022836
RS,0.6,5,0.1041652014799242,0.18768175331623893,0.01736752686597238,0.054238207174192046
RS,0.6,7,0.10316417568391213,0.18625188891058725,0.017055446523341934,0.05338117868368554
RS,0.6,9,0.1025329392992453,0.18508525760395328,0.016847913760864027,0.05271012808826989
RS,0.6,11,0.10196234745575349,0.1840491171615634,0.01665204823681276,0.05215229558882542
RS,0.6,13,0.10153443149656291,0.18318241830599194,0.01649460828166456,0.05167611146388313
RS,0.6,15,0.10122393119447057,0.18237635990322454,0.016364581578625727,0.051241989031901254

