Approach,Categories,Score,History,MAEModel,MAEBaseline,MSE-Binomial,MSE-Baseline
RS,3,0.5,5,0.120116112,0.202670957,0.021703675,0.058010138
RS,3,0.5,7,0.119398411,0.201851918,0.021452976,0.057511985
RS,3,0.5,9,0.118806291,0.201242961,0.021250626,0.057153224
RS,3,0.5,11,0.118287355,0.200790155,0.021079834,0.056878408
RS,3,0.5,13,0.117835832,0.200437515,0.020932479,0.056670177
RS,3,0.5,15,0.117441189,0.200159177,0.020808349,0.05649427
RS,3,0.6,5,0.103164483,0.18638358,0.016914917,0.05328296
RS,3,0.6,7,0.102158069,0.185016571,0.016588153,0.052483383
RS,3,0.6,9,0.10147065,0.183981239,0.016355884,0.051904418
RS,3,0.6,11,0.100977269,0.183159217,0.01618466,0.051435818
RS,3,0.6,13,0.100698119,0.182505243,0.016074386,0.051078078
RS,3,0.6,15,0.100516383,0.181919781,0.01598932,0.050751682
PE,3,0.5,5,0.113904617,0.202670957,0.019759996,0.058010138
PE,3,0.5,7,0.113551838,0.201851918,0.019702692,0.057511985
PE,3,0.5,9,0.113363606,0.201242961,0.019695117,0.057153224
PE,3,0.5,11,0.113251841,0.200790155,0.019712817,0.056878408
PE,3,0.5,13,0.11323451,0.200437515,0.019757827,0.056670177
PE,3,0.5,15,0.113250111,0.200159177,0.019812509,0.05649427
PE,3,0.6,5,0.100351936,0.18638358,0.015985842,0.05328296
PE,3,0.6,7,0.099745682,0.185016571,0.015805326,0.052483383
PE,3,0.6,9,0.099465247,0.183981239,0.01570566,0.051904418
PE,3,0.6,11,0.099393245,0.183159217,0.015659546,0.051435818
PE,3,0.6,13,0.099509986,0.182505243,0.015664264,0.051078078
PE,3,0.6,15,0.099689979,0.181919781,0.015687556,0.050751682
PE,5,0.5,5,0.113243623,0.202875359,0.019382977,0.058134252
PE,5,0.5,7,0.112734148,0.202011147,0.019274043,0.057604917
PE,5,0.5,9,0.112413366,0.201374949,0.019225499,0.057227839
PE,5,0.5,11,0.112174686,0.200874222,0.019201634,0.056921155
PE,5,0.5,13,0.112005921,0.200450387,0.019203654,0.056665349
PE,5,0.5,15,0.111960062,0.200124459,0.019240647,0.056484215
PE,5,0.6,5,0.099719054,0.187001975,0.015877491,0.053643313
PE,5,0.6,7,0.09878577,0.185568469,0.015616259,0.052811605
PE,5,0.6,9,0.098182321,0.184530509,0.015446092,0.052222402
PE,5,0.6,11,0.097772442,0.183761622,0.015317033,0.051781187
PE,5,0.6,13,0.097549573,0.18312255,0.015236809,0.051417012
PE,5,0.6,15,0.097498371,0.182649154,0.015203982,0.051150511
PE,7,0.5,5,0.118067941,0.202918366,0.021593058,0.058158133
PE,7,0.5,7,0.118007011,0.202063885,0.021664499,0.057645416
PE,7,0.5,9,0.118146811,0.201482577,0.021795182,0.057300979
PE,7,0.5,11,0.118407679,0.201045619,0.021963632,0.05703727
PE,7,0.5,13,0.118703694,0.200710327,0.022144803,0.056831381
PE,7,0.5,15,0.119036593,0.200418786,0.022326648,0.056648795
PE,7,0.6,5,0.101297558,0.186419717,0.016346747,0.053271432
PE,7,0.6,7,0.100952936,0.185030323,0.016237014,0.052470523
PE,7,0.6,9,0.100928758,0.184015873,0.016215067,0.051895321
PE,7,0.6,11,0.101089839,0.183264641,0.016246561,0.051456776
PE,7,0.6,13,0.101306066,0.182683406,0.01629869,0.051123506
PE,7,0.6,15,0.101603419,0.182144244,0.016378957,0.050822448
RS,5,0.5,5,0.121072922,0.202875359,0.022013047,0.058134252
RS,5,0.5,7,0.120297903,0.202011147,0.02173988,0.057604917
RS,5,0.5,9,0.119671617,0.201374949,0.021523438,0.057227839
RS,5,0.5,11,0.119105017,0.200874222,0.021329539,0.056921155
RS,5,0.5,13,0.11859974,0.200450387,0.021164383,0.056665349
RS,5,0.5,15,0.11820475,0.200124459,0.021039426,0.056484215
RS,5,0.6,5,0.1041654,0.187001975,0.017331062,0.053643313
RS,5,0.6,7,0.102884714,0.185568469,0.016927121,0.052811605
RS,5,0.6,9,0.101912413,0.184530509,0.016626639,0.052222402
RS,5,0.6,11,0.101077001,0.183761622,0.016363995,0.051781187
RS,5,0.6,13,0.100458679,0.18312255,0.016170837,0.051417012
RS,5,0.6,15,0.099999414,0.182649154,0.016025951,0.051150511
RS,7,0.5,5,0.120291149,0.202918366,0.021563933,0.058158133
RS,7,0.5,7,0.119511433,0.202063885,0.021292436,0.057645416
RS,7,0.5,9,0.118901108,0.201482577,0.021083386,0.057300979
RS,7,0.5,11,0.118402952,0.201045619,0.020915978,0.05703727
RS,7,0.5,13,0.117910219,0.200710327,0.020756619,0.056831381
RS,7,0.5,15,0.117482445,0.200418786,0.020623009,0.056648795
RS,7,0.6,5,0.106650794,0.186419717,0.017916557,0.053271432
RS,7,0.6,7,0.105465585,0.185030323,0.017548161,0.052470523
RS,7,0.6,9,0.104514786,0.184015873,0.017262065,0.051895321
RS,7,0.6,11,0.103728978,0.183264641,0.017031301,0.051456776
RS,7,0.6,13,0.102993157,0.182683406,0.016816868,0.051123506
RS,7,0.6,15,0.102378151,0.182144244,0.016646959,0.050822448
RS,Baseline,0.5,5,1,1,1,1
RS,Baseline,0.5,7,1,1,1,1
RS,Baseline,0.5,9,1,1,1,1
RS,Baseline,0.5,11,1,1,1,1
RS,Baseline,0.5,13,1,1,1,1
RS,Baseline,0.5,15,1,1,1,1
RS,Baseline,0.6,5,1,1,1,1
RS,Baseline,0.6,7,1,1,1,1
RS,Baseline,0.6,9,1,1,1,1
RS,Baseline,0.6,11,1,1,1,1
RS,Baseline,0.6,13,1,1,1,1
RS,Baseline,0.6,15,1,1,1,1
PE,Baseline,0.5,5,1,1,1,1
PE,Baseline,0.5,7,1,1,1,1
PE,Baseline,0.5,9,1,1,1,1
PE,Baseline,0.5,11,1,1,1,1
PE,Baseline,0.5,13,1,1,1,1
PE,Baseline,0.5,15,1,1,1,1
PE,Baseline,0.6,5,1,1,1,1
PE,Baseline,0.6,7,1,1,1,1
PE,Baseline,0.6,9,1,1,1,1
PE,Baseline,0.6,11,1,1,1,1
PE,Baseline,0.6,13,1,1,1,1
PE,Baseline,0.6,15,1,1,1,1
PE,Baseline,0.5,5,1,1,1,1
PE,Baseline,0.5,7,1,1,1,1
PE,Baseline,0.5,9,1,1,1,1
PE,Baseline,0.5,11,1,1,1,1
PE,Baseline,0.5,13,1,1,1,1
PE,Baseline,0.5,15,1,1,1,1
PE,Baseline,0.6,5,1,1,1,1
PE,Baseline,0.6,7,1,1,1,1
PE,Baseline,0.6,9,1,1,1,1
PE,Baseline,0.6,11,1,1,1,1
PE,Baseline,0.6,13,1,1,1,1
PE,Baseline,0.6,15,1,1,1,1
PE,Baseline,0.5,5,1,1,1,1
PE,Baseline,0.5,7,1,1,1,1
PE,Baseline,0.5,9,1,1,1,1
PE,Baseline,0.5,11,1,1,1,1
PE,Baseline,0.5,13,1,1,1,1
PE,Baseline,0.5,15,1,1,1,1
PE,Baseline,0.6,5,1,1,1,1
PE,Baseline,0.6,7,1,1,1,1
PE,Baseline,0.6,9,1,1,1,1
PE,Baseline,0.6,11,1,1,1,1
PE,Baseline,0.6,13,1,1,1,1
PE,Baseline,0.6,15,1,1,1,1
RS,Baseline,0.5,5,1,1,1,1
RS,Baseline,0.5,7,1,1,1,1
RS,Baseline,0.5,9,1,1,1,1
RS,Baseline,0.5,11,1,1,1,1
RS,Baseline,0.5,13,1,1,1,1
RS,Baseline,0.5,15,1,1,1,1
RS,Baseline,0.6,5,1,1,1,1
RS,Baseline,0.6,7,1,1,1,1
RS,Baseline,0.6,9,1,1,1,1
RS,Baseline,0.6,11,1,1,1,1
RS,Baseline,0.6,13,1,1,1,1
RS,Baseline,0.6,15,1,1,1,1
RS,Baseline,0.5,5,1,1,1,1
RS,Baseline,0.5,7,1,1,1,1
RS,Baseline,0.5,9,1,1,1,1
RS,Baseline,0.5,11,1,1,1,1
RS,Baseline,0.5,13,1,1,1,1
RS,Baseline,0.5,15,1,1,1,1
RS,Baseline,0.6,5,1,1,1,1
RS,Baseline,0.6,7,1,1,1,1
RS,Baseline,0.6,9,1,1,1,1
RS,Baseline,0.6,11,1,1,1,1
RS,Baseline,0.6,13,1,1,1,1
